datetime,year,month,day,hour,weekday,season,district,is_ub,horoo,cause,cause_raw
2025-03-15 17:52:00,2025,3,15,17,5,Хавар,Аргалант,FALSE,,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2025-03-21 19:42:00,2025,3,21,19,4,Хавар,Аргалант,FALSE,,Цахилгаан,Цахилгааны угсралтын буруугаас
2025-06-07 05:19:00,2025,6,7,5,5,Зун,Аргалант,FALSE,,Ил гал,Ил гал
2025-09-24 22:54:00,2025,9,24,22,2,Намар,Аргалант,FALSE,,Ил гал,Ил гал
2014-12-22 02:09:00,2014,12,22,2,0,Өвөл,Багануур,TRUE,3,Бусад,Шалтгаан тогтоогдоогүй
2014-12-28 09:15:00,2014,12,28,9,6,Өвөл,Багануур,TRUE,1,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2015-01-07 23:23:00,2015,1,7,23,2,Өвөл,Багануур,TRUE,4,Ил гал,Ил гал
2015-01-13 15:53:00,2015,1,13,15,1,Өвөл,Багануур,TRUE,1,Худал дуудлага,худал
2015-01-14 18:50:00,2015,1,14,18,2,Өвөл,Багануур,TRUE,3,Ил гал,Ил гал
2015-01-19 02:27:00,2015,1,19,2,0,Өвөл,Багануур,TRUE,1,Бусад,Санамсаргүй байдал
2015-01-21 16:24:00,2015,1,21,16,2,Өвөл,Багануур,TRUE,5,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2015-01-23 09:57:00,2015,1,23,9,4,Өвөл,Багануур,TRUE,2,Бусад,Шалтгаан тогтоогдоогүй
2015-01-26 16:23:00,2015,1,26,16,0,Өвөл,Багануур,TRUE,1,Ил гал,Ил гал
2015-01-28 18:13:00,2015,1,28,18,2,Өвөл,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-02-13 15:47:00,2015,2,13,15,4,Өвөл,Багануур,TRUE,1,Цахилгаан,Цахилгаан ашиглалтын буруугаас
2015-02-18 02:18:00,2015,2,18,2,2,Өвөл,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-02-25 11:47:00,2015,2,25,11,2,Өвөл,Багануур,TRUE,1,Яндан/цонолт,"Пийшин, зуух яндангийн цоонолт"
2015-03-02 22:41:00,2015,3,2,22,0,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-03-04 03:59:00,2015,3,4,3,2,Хавар,Багануур,TRUE,1,Худал дуудлага,худал
2015-03-04 17:13:00,2015,3,4,17,2,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-03-09 12:05:00,2015,3,9,12,0,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-03-09 14:56:00,2015,3,9,14,0,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
2015-03-13 16:24:00,2015,3,13,16,4,Хавар,Багануур,TRUE,4,Ил гал,Ил гал
2015-03-17 17:17:00,2015,3,17,17,1,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-03-26 04:24:00,2015,3,26,4,3,Хавар,Багануур,TRUE,3,Ил гал,Ил гал
2015-03-26 05:02:00,2015,3,26,5,3,Хавар,Багануур,TRUE,5,Бусад,Шалтгаан тогтоогдоогүй
2015-03-26 12:27:00,2015,3,26,12,3,Хавар,Багануур,TRUE,5,Бусад,Шалтгаан тогтоогдоогүй
2015-04-03 12:25:00,2015,4,3,12,4,Хавар,Багануур,TRUE,1,Ил гал,Ил гал
2015-04-09 19:14:00,2015,4,9,19,3,Хавар,Багануур,TRUE,1,Бусад,Шалтгаан тогтоогдоогүй
