district,khoroo,pop
Багануур,1,8516
Багануур,2,699
Багануур,3,7663
Багануур,4,5927
Багануур,5,6144
Багахангай,1,2571
Багахангай,2,1678
Баянгол,1,9265
Баянгол,26,18329
Баянгол,2,9256
Баянгол,27,6488
Баянгол,3,7327
Баянгол,28,6965
Баянгол,4,7559
Баянгол,29,9296
Баянгол,5,7936
Баянгол,30,5883
Баянгол,6,10027
Баянгол,31,6170
Баянгол,7,7039
Баянгол,32,7362
Баянгол,8,8019
Баянгол,33,6357
Баянгол,9,8342
Баянгол,34,4390
Баянгол,10,7643
Баянгол,11,6321
Баянгол,12,5312
Баянгол,13,4884
Баянгол,14,4115
Баянгол,15,4738
Баянгол,16,4791
Баянгол,17,7630
Баянгол,18,10098
Баянгол,19,7637
Баянгол,20,3238
Баянгол,21,6606
Баянгол,22,7045
Баянгол,23,5927
Баянгол,24,15429
Баянгол,25,7286
Баянзүрх,1,11213
Баянзүрх,26,24947
Баянзүрх,2,11443
Баянзүрх,27,10407
Баянзүрх,3,10177
Баянзүрх,28,10951
Баянзүрх,4,10798
Баянзүрх,29,6597
Баянзүрх,5,8463
Баянзүрх,30,9790
Баянзүрх,6,10612
Баянзүрх,31,10269
Баянзүрх,7,7623
Баянзүрх,32,8712
Баянзүрх,8,11670
Баянзүрх,33,4014
Баянзүрх,9,7546
Баянзүрх,34,7451
Баянзүрх,10,8782
Баянзүрх,35,6000
Баянзүрх,11,10905
Баянзүрх,36,16566
Баянзүрх,12,7161
Баянзүрх,37,11486
Баянзүрх,13,13910
Баянзүрх,38,13655
Баянзүрх,14,10083
Баянзүрх,39,8142
Баянзүрх,15,7494
Баянзүрх,40,10659
Баянзүрх,16,20369
Баянзүрх,41,10031
Баянзүрх,17,7268
Баянзүрх,42,19146
Баянзүрх,18,10549
Баянзүрх,43,15813
Баянзүрх,19,12438
Баянзүрх,20,3974
Баянзүрх,21,9387
Баянзүрх,22,6917
Баянзүрх,23,10220
Баянзүрх,24,7933
Баянзүрх,25,10624
Налайх,1,5798
Налайх,2,4034
Налайх,3,5652
Налайх,4,7499
Налайх,5,4007
Налайх,6,1537
Налайх,7,6005
Налайх,8,6292
Сонгинохайрхан,1,9387
Сонгинохайрхан,26,9429
Сонгинохайрхан,2,7678
Сонгинохайрхан,27,7768
Сонгинохайрхан,3,8597
Сонгинохайрхан,28,7694
Сонгинохайрхан,4,6772
Сонгинохайрхан,29,11345
Сонгинохайрхан,5,5411
Сонгинохайрхан,30,5413
Сонгинохайрхан,6,10585
Сонгинохайрхан,31,6151
Сонгинохайрхан,7,8782
Сонгинохайрхан,32,5718
Сонгинохайрхан,8,7476
Сонгинохайрхан,33,21435
Сонгинохайрхан,9,5772
Сонгинохайрхан,34,8561
Сонгинохайрхан,10,9567
Сонгинохайрхан,35,5800
Сонгинохайрхан,11,9043
Сонгинохайрхан,36,8528
Сонгинохайрхан,12,4231
Сонгинохайрхан,37,10839
Сонгинохайрхан,13,4994
Сонгинохайрхан,38,6586
Сонгинохайрхан,14,5015
Сонгинохайрхан,39,5653
Сонгинохайрхан,15,5887
Сонгинохайрхан,40,7370
Сонгинохайрхан,16,5662
Сонгинохайрхан,41,8280
Сонгинохайрхан,17,5036
Сонгинохайрхан,42,5373
Сонгинохайрхан,18,8420
Сонгинохайрхан,43,4990
Сонгинохайрхан,19,12752
Сонгинохайрхан,20,7754
Сонгинохайрхан,21,8071
Сонгинохайрхан,22,11210
Сонгинохайрхан,23,5788
Сонгинохайрхан,24,9490
Сонгинохайрхан,25,8890
Сүхбаатар,1,9589
Сүхбаатар,2,3623
Сүхбаатар,3,8502
Сүхбаатар,4,2829
Сүхбаатар,5,4728
Сүхбаатар,6,5510
Сүхбаатар,7,8918
Сүхбаатар,8,7008
Сүхбаатар,9,10278
Сүхбаатар,10,9286
Сүхбаатар,11,17588
Сүхбаатар,12,5083
Сүхбаатар,13,6815
Сүхбаатар,14,3791
Сүхбаатар,15,6660
Сүхбаатар,16,10771
Сүхбаатар,17,4923
Сүхбаатар,18,8333
Сүхбаатар,19,2268
Сүхбаатар,20,4520
Хан-Уул,1,10616
Хан-Уул,2,12867
Хан-Уул,3,15356
Хан-Уул,4,6858
Хан-Уул,5,4663
Хан-Уул,6,7250
Хан-Уул,7,4985
Хан-Уул,8,13006
Хан-Уул,9,8276
Хан-Уул,10,9749
Хан-Уул,11,10792
Хан-Уул,12,6038
Хан-Уул,13,4243
Хан-Уул,14,6861
Хан-Уул,15,21282
Хан-Уул,16,9300
Хан-Уул,17,16037
Хан-Уул,18,15102
Хан-Уул,19,14952
Хан-Уул,20,11091
Хан-Уул,21,17461
Хан-Уул,22,8313
Хан-Уул,23,19559
Хан-Уул,24,17374
Хан-Уул,25,10979
Чингэлтэй,1,3197
Чингэлтэй,2,3177
Чингэлтэй,3,5405
Чингэлтэй,4,4874
Чингэлтэй,5,4441
Чингэлтэй,6,9084
Чингэлтэй,7,5984
Чингэлтэй,8,2998
Чингэлтэй,9,5267
Чингэлтэй,10,7325
Чингэлтэй,11,4189
Чингэлтэй,12,5372
Чингэлтэй,13,6397
Чингэлтэй,14,5150
Чингэлтэй,15,7358
Чингэлтэй,16,7393
Чингэлтэй,17,7059
Чингэлтэй,18,5758
Чингэлтэй,19,6857
Чингэлтэй,20,4268
Чингэлтэй,21,6993
Чингэлтэй,22,4035
Чингэлтэй,23,3945
Чингэлтэй,24,2590
