year,month,temp_mean,temp_min_mean,temp_max_mean,precip_sum,snowfall_sum,wind_max_mean,cold_days_n25,cold_days_n35,dry_days,fire_wx_days,hdd
2014,1,-16.729,-23.065,-9.816,0.6,1.47,10.529,10,0,31,0,1076.6
2014,2,-16.671,-23.236,-9.743,3.0,2.66,13.346,14,0,27,0,970.8
2014,3,-3.758,-10.642,3.165,6.9,5.04,15.642,0,0,28,1,674.5
2014,4,6.257,-0.99,12.937,13.0,8.54,16.367,0,0,24,10,352.3
2014,5,6.668,-0.423,13.126,69.5,31.64,18.071,0,0,20,9,354.2
2014,6,14.57,7.687,20.18,56.3,0.0,14.507,0,0,17,8,106.1
2014,7,17.681,11.281,23.19,66.6,0.0,14.526,0,0,21,9,33.9
2014,8,15.213,8.661,21.374,39.8,0.0,14.29,0,0,17,5,89.3
2014,9,9.353,2.443,16.067,22.2,4.76,15.73,0,0,25,10,262.1
2014,10,2.519,-2.613,8.713,2.5,0.35,15.613,0,0,29,5,479.9
2014,11,-6.89,-11.183,-1.51,0.4,1.19,14.223,0,0,30,0,746.7
2014,12,-14.687,-18.468,-9.655,2.6,2.52,13.865,0,0,30,0,1013.3
2015,1,-14.861,-20.416,-7.945,0.6,0.63,11.365,3,0,30,0,1018.7
2015,2,-12.786,-19.189,-5.196,0.9,1.26,14.146,1,0,27,0,862.0
2015,3,-5.555,-12.026,0.642,10.3,6.37,17.823,0,0,28,0,730.2
2015,4,3.447,-3.28,9.85,21.3,11.83,19.623,0,0,25,10,436.6
2015,5,8.442,1.558,14.255,16.0,3.78,19.303,0,0,21,9,296.7
2015,6,15.753,7.763,22.167,18.0,0.0,16.837,0,0,22,8,91.4
2015,7,19.474,12.729,25.377,78.4,0.0,15.848,0,0,16,10,12.5
2015,8,17.732,10.555,24.177,61.2,0.0,15.487,0,0,23,5,39.6
2015,9,9.947,4.357,15.973,26.2,6.86,14.977,0,0,19,5,242.1
2015,10,2.174,-3.694,8.597,17.2,10.85,16.242,0,0,25,3,490.6
2015,11,-10.43,-14.93,-5.02,7.1,6.23,11.157,3,0,28,0,852.9
2015,12,-15.6,-20.597,-9.171,0.8,1.82,11.097,5,0,30,0,1041.6
2016,1,-23.339,-29.055,-16.577,1.9,2.03,12.894,24,4,30,0,1281.5
2016,2,-14.821,-20.669,-8.269,1.2,1.68,16.886,3,0,28,0,951.8
2016,3,-4.223,-10.79,2.287,19.2,13.51,17.568,0,0,28,0,688.9
2016,4,2.567,-3.337,8.657,15.5,9.17,19.71,0,0,25,7,463.0
2016,5,8.513,1.026,15.055,29.9,16.8,19.758,0,0,24,13,294.1
2016,6,15.037,8.303,20.36,57.4,0.0,14.06,0,0,18,5,92.6
2016,7,20.206,13.335,26.368,64.9,0.0,13.668,0,0,20,5,8.3
2016,8,17.587,11.694,23.032,46.8,0.0,15.0,0,0,18,6,57.7
2016,9,9.993,4.703,15.553,34.2,0.98,13.613,0,0,21,5,240.2
2016,10,-1.41,-5.442,3.535,12.1,8.26,14.306,0,0,23,1,601.7
2016,11,-13.923,-19.307,-8.293,15.8,12.88,11.847,6,0,24,0,957.7
2016,12,-15.674,-21.155,-9.706,1.3,1.33,10.229,6,0,30,0,1043.9
2017,1,-18.965,-24.348,-13.258,1.7,1.33,11.258,14,0,30,0,1145.9
2017,2,-13.339,-19.818,-7.125,0.4,0.28,13.114,3,0,28,0,877.5
2017,3,-4.519,-10.184,1.826,3.3,2.1,14.652,0,0,29,0,698.1
2017,4,4.27,-1.99,10.497,11.4,4.34,19.783,0,0,26,10,411.9
2017,5,11.845,3.645,19.194,16.8,4.55,21.794,0,0,26,18,204.5
2017,6,18.757,11.54,24.96,24.0,0.0,17.84,0,0,19,10,36.9
2017,7,21.09,14.839,27.287,27.2,0.0,18.194,0,0,17,10,3.1
2017,8,15.452,10.445,20.655,122.2,0.07,15.252,0,0,11,6,96.1
2017,9,9.47,3.76,15.46,46.5,10.22,18.36,0,0,20,10,255.9
2017,10,0.784,-3.971,6.587,8.4,3.99,14.345,0,0,26,0,533.7
2017,11,-11.703,-16.687,-6.94,12.5,8.96,13.107,3,0,25,0,891.1
2017,12,-16.39,-21.229,-11.861,1.8,1.26,12.168,2,0,29,0,1066.1
2018,1,-21.706,-26.258,-16.99,3.9,2.73,11.629,17,1,28,0,1230.9
2018,2,-16.911,-21.961,-11.571,4.2,3.01,15.45,7,0,25,0,977.5
2018,3,-1.955,-8.271,5.135,3.7,2.03,16.774,0,0,29,4,618.6
2018,4,3.817,-2.483,10.237,14.5,7.07,19.947,0,0,21,9,425.5
2018,5,12.619,3.884,20.194,5.1,1.4,22.477,0,0,30,24,177.0
2018,6,17.21,10.18,23.21,30.4,0.0,19.043,0,0,23,17,62.1
2018,7,17.655,12.335,22.674,125.9,0.0,16.219,0,0,16,6,42.5
2018,8,17.103,12.035,22.187,101.7,0.0,13.89,0,0,15,4,44.5
2018,9,7.857,2.97,13.253,61.4,18.55,18.777,0,0,18,5,304.3
2018,10,2.168,-2.539,7.7,13.7,9.45,16.084,0,0,24,1,490.8
2018,11,-8.047,-12.113,-2.943,2.8,2.03,13.847,0,0,28,0,781.4
2018,12,-18.477,-22.316,-14.171,2.3,1.54,11.594,9,0,29,0,1130.8
2019,1,-17.006,-21.806,-11.958,0.3,0.21,11.777,9,0,31,0,1085.2
2019,2,-15.589,-21.107,-10.129,0.7,0.49,12.307,10,0,27,0,940.5
2019,3,-3.097,-8.306,2.719,5.2,3.57,18.658,0,0,29,0,654.0
2019,4,3.63,-2.63,9.857,11.8,5.04,19.46,0,0,27,10,431.1
2019,5,8.755,1.023,15.961,37.4,13.44,20.955,0,0,23,15,292.7
2019,6,16.963,9.997,22.937,67.9,0.0,17.703,0,0,16,7,74.8
2019,7,19.152,13.913,24.268,82.8,0.0,16.11,0,0,15,6,23.5
2019,8,15.445,9.961,20.761,84.5,0.0,14.435,0,0,16,3,92.6
2019,9,13.33,6.31,20.107,32.3,0.0,15.793,0,0,27,15,146.1
2019,10,0.842,-3.781,6.716,13.0,7.28,15.794,0,0,26,1,531.9
2019,11,-8.887,-13.62,-3.06,12.2,8.47,13.28,0,0,24,0,806.6
2019,12,-14.474,-18.497,-9.613,2.0,1.4,10.726,2,0,30,0,1006.7
2020,1,-15.006,-20.032,-8.732,0.7,0.49,10.31,1,0,31,0,1023.2
2020,2,-10.952,-15.831,-5.176,10.5,7.49,13.007,0,0,24,0,839.6
2020,3,-5.032,-10.635,0.884,7.7,5.25,18.9,0,0,26,0,714.0
2020,4,5.553,-1.42,12.227,5.7,2.73,20.297,0,0,26,11,373.4
2020,5,9.855,2.723,16.329,26.1,9.52,22.274,0,0,21,18,252.6
2020,6,16.27,9.33,22.297,72.9,0.0,18.027,0,0,17,13,76.6
2020,7,18.255,12.59,23.719,139.1,0.0,15.929,0,0,15,8,32.7
2020,8,15.097,10.452,20.01,83.3,0.0,14.987,0,0,11,1,92.4
2020,9,10.327,4.617,16.24,35.1,4.9,16.753,0,0,20,10,230.2
2020,10,-0.755,-4.965,4.91,14.2,8.54,16.777,0,0,25,0,581.4
2020,11,-6.957,-11.023,-2.22,8.8,6.23,12.417,0,0,24,0,748.7
2020,12,-18.748,-22.597,-14.784,3.0,2.1,10.468,8,0,28,0,1139.2
2021,1,-19.6,-25.126,-14.184,3.0,2.1,12.897,15,2,27,0,1165.6
2021,2,-11.843,-17.954,-5.286,4.5,3.15,13.461,2,0,25,0,835.6
2021,3,-2.274,-8.177,4.374,6.3,4.41,17.9,0,0,27,0,628.5
2021,4,2.68,-3.43,8.88,35.4,20.93,20.28,0,0,20,6,459.6
2021,5,7.103,0.713,13.216,49.9,13.79,22.59,0,0,14,10,337.8
2021,6,14.11,7.757,19.903,70.5,5.6,17.843,0,0,14,9,131.1
2021,7,19.174,13.277,24.903,30.6,0.0,14.597,0,0,18,6,19.6
2021,8,15.416,9.823,20.755,45.8,0.0,15.952,0,0,18,8,91.2
2021,9,9.447,4.177,15.393,67.8,3.99,15.3,0,0,16,4,256.6
2021,10,1.09,-3.516,6.616,15.1,7.35,15.039,0,0,26,1,524.2
2021,11,-6.847,-10.953,-2.07,9.4,6.58,13.487,0,0,25,0,745.4
2021,12,-12.865,-16.945,-8.326,0.8,0.56,11.71,1,0,30,0,956.8
2022,1,-15.481,-19.858,-10.206,0.1,0.07,9.881,0,0,31,0,1037.9
2022,2,-15.421,-20.043,-9.843,0.8,0.49,13.268,2,0,28,0,935.8
2022,3,-4.958,-10.761,1.029,5.4,3.78,18.377,0,0,27,0,711.7
2022,4,3.153,-3.333,9.567,12.8,7.98,19.877,0,0,24,8,445.4
2022,5,10.613,2.69,17.471,24.6,8.75,20.368,0,0,26,17,230.2
